Date,Stock,Price
25/04/2023 22:17:49,AAPL,$163.77
25/04/2023 22:17:49,META,$207.55
25/04/2023 22:17:49,MSFT,$275.42
25/04/2023 22:17:49,NVDA,$262.41
25/04/2023 22:17:49,TSLA,$160.67
