Date,Stock,Price
2023-04-25 18:09:22.960263,AAPL,163.77
2023-04-25 18:09:23.150269,META,207.55
2023-04-25 18:09:23.347846,MSFT,275.42
2023-04-25 18:09:23.347846,NVDA,262.41
2023-04-25 18:09:23.542746,TSLA,160.67
